no,date,code,unit,name,buying,selling
1,2022-01-03,UAH,1,UKRAINE HRYVNIA,0.49241,0.49241
2,2022-01-03,DKK,1,DANISH KRONE,2.0438,2.0601
3,2022-01-04,UAH,1,UKRAINE HRYVNIA,0.48361,0.48361
4,2022-01-04,DKK,1,DANISH KRONE,1.9974,2.0133
5,2022-01-05,UAH,1,UKRAINE HRYVNIA,0.4872,0.4872
6,2022-01-05,DKK,1,DANISH KRONE,2.0272,2.0433
7,2022-01-06,DKK,1,DANISH KRONE,2.0669,2.0833
8,2022-01-06,UAH,1,UKRAINE HRYVNIA,0.49638,0.49638
9,2022-01-07,DKK,1,DANISH KRONE,2.0859,2.1025
10,2022-01-07,UAH,1,UKRAINE HRYVNIA,0.50063,0.50063
11,2022-01-10,UAH,1,UKRAINE HRYVNIA,0.49961,0.49961
12,2022-01-10,DKK,1,DANISH KRONE,2.0851,2.1016
13,2022-01-11,DKK,1,DANISH KRONE,2.0882,2.1047
14,2022-01-11,UAH,1,UKRAINE HRYVNIA,0.49916,0.49916
15,2022-01-12,DKK,1,DANISH KRONE,2.0904,2.107
16,2022-01-12,UAH,1,UKRAINE HRYVNIA,0.49523,0.49523
17,2022-01-13,DKK,1,DANISH KRONE,2.0809,2.0974
18,2022-01-13,UAH,1,UKRAINE HRYVNIA,0.48843,0.48843
19,2022-01-14,DKK,1,DANISH KRONE,2.0756,2.092
20,2022-01-14,UAH,1,UKRAINE HRYVNIA,0.48329,0.48329
21,2022-01-17,DKK,1,DANISH KRONE,2.064,2.0803
22,2022-01-17,UAH,1,UKRAINE HRYVNIA,0.47858,0.47858
23,2022-01-18,DKK,1,DANISH KRONE,2.0639,2.0802
24,2022-01-18,UAH,1,UKRAINE HRYVNIA,0.4752,0.4752
25,2022-01-19,DKK,1,DANISH KRONE,2.0625,2.0789
26,2022-01-19,UAH,1,UKRAINE HRYVNIA,0.47775,0.47775
27,2022-01-20,DKK,1,DANISH KRONE,2.0455,2.0617
28,2022-01-20,UAH,1,UKRAINE HRYVNIA,0.47509,0.47509
29,2022-01-21,DKK,1,DANISH KRONE,2.0362,2.0524
30,2022-01-21,UAH,1,UKRAINE HRYVNIA,0.47377,0.47377
31,2022-01-24,DKK,1,DANISH KRONE,2.031,2.0471
32,2022-01-24,UAH,1,UKRAINE HRYVNIA,0.47154,0.47154
33,2022-01-25,DKK,1,DANISH KRONE,2.0431,2.0593
34,2022-01-25,UAH,1,UKRAINE HRYVNIA,0.47097,0.47097
35,2022-01-26,DKK,1,DANISH KRONE,2.0433,2.0595
36,2022-01-26,UAH,1,UKRAINE HRYVNIA,0.46946,0.46946
37,2022-01-27,DKK,1,DANISH KRONE,2.0397,2.0559
38,2022-01-27,UAH,1,UKRAINE HRYVNIA,0.46907,0.46907
39,2022-01-28,DKK,1,DANISH KRONE,2.0313,2.0474
40,2022-01-28,UAH,1,UKRAINE HRYVNIA,0.47566,0.47566
41,2022-01-31,DKK,1,DANISH KRONE,2.0065,2.0224
42,2022-01-31,UAH,1,UKRAINE HRYVNIA,0.47209,0.47209
43,2022-02-01,DKK,1,DANISH KRONE,2.0181,2.0341
44,2022-02-01,UAH,1,UKRAINE HRYVNIA,0.47126,0.47126
45,2022-02-02,UAH,1,UKRAINE HRYVNIA,0.47371,0.47371
46,2022-02-02,DKK,1,DANISH KRONE,2.034,2.0501
47,2022-02-03,DKK,1,DANISH KRONE,2.0522,2.0685
48,2022-02-03,UAH,1,UKRAINE HRYVNIA,0.47989,0.47989
49,2022-02-04,UAH,1,UKRAINE HRYVNIA,0.48189,0.48189
50,2022-02-04,DKK,1,DANISH KRONE,2.0804,2.0969
51,2022-02-07,DKK,1,DANISH KRONE,2.0749,2.0913
52,2022-02-07,UAH,1,UKRAINE HRYVNIA,0.48441,0.48441
53,2022-02-08,UAH,1,UKRAINE HRYVNIA,0.48725,0.48725
54,2022-02-08,DKK,1,DANISH KRONE,2.0832,2.0997
55,2022-02-09,DKK,1,DANISH KRONE,2.0777,2.0942
56,2022-02-09,UAH,1,UKRAINE HRYVNIA,0.48571,0.48571
57,2022-02-10,DKK,1,DANISH KRONE,2.0744,2.0908
58,2022-02-10,UAH,1,UKRAINE HRYVNIA,0.48623,0.48623
59,2022-02-11,DKK,1,DANISH KRONE,2.0608,2.0772
60,2022-02-11,UAH,1,UKRAINE HRYVNIA,0.48197,0.48197
61,2022-02-14,UAH,1,UKRAINE HRYVNIA,0.47502,0.47502
62,2022-02-14,DKK,1,DANISH KRONE,2.0553,2.0716
63,2022-02-15,UAH,1,UKRAINE HRYVNIA,0.48303,0.48303
64,2022-02-15,DKK,1,DANISH KRONE,2.0673,2.0837
65,2022-02-16,DKK,1,DANISH KRONE,2.0771,2.0936
66,2022-02-16,UAH,1,UKRAINE HRYVNIA,0.48497,0.48497
67,2022-02-17,UAH,1,UKRAINE HRYVNIA,0.48053,0.48053
68,2022-02-17,DKK,1,DANISH KRONE,2.0734,2.0899
69,2022-02-18,DKK,1,DANISH KRONE,2.0756,2.092
70,2022-02-18,UAH,1,UKRAINE HRYVNIA,0.4808,0.4808
71,2022-02-21,UAH,1,UKRAINE HRYVNIA,0.47789,0.47789
72,2022-02-21,DKK,1,DANISH KRONE,2.0742,2.0906
73,2022-02-22,UAH,1,UKRAINE HRYVNIA,0.47541,0.47541
74,2022-02-22,DKK,1,DANISH KRONE,2.0873,2.1039
75,2022-02-23,UAH,1,UKRAINE HRYVNIA,0.46985,0.46985
76,2022-02-23,DKK,1,DANISH KRONE,2.0971,2.1138
77,2022-02-24,UAH,1,UKRAINE HRYVNIA,0.47646,0.47646
78,2022-02-24,DKK,1,DANISH KRONE,2.1405,2.1575
79,2022-02-25,UAH,1,UKRAINE HRYVNIA,0.46763,0.46763
80,2022-02-25,DKK,1,DANISH KRONE,2.1062,2.1229
81,2022-02-28,DKK,1,DANISH KRONE,2.0747,2.0911
82,2022-02-28,UAH,1,UKRAINE HRYVNIA,0.4606,0.4606
